:START_ID,:END_ID,name,:TYPE
e15149,e41781,旗籍,旗籍
e15149,e33364,民族族群,民族族群
e25313,e25313,中文名,中文名
e25313,e6557,外文名,外文名
e25313,e25200,简称,简称
e25313,e23347,最早出现时间,最早出现时间
e25313,e23290,特点,特点
e25313,e30672,作用,作用
e28740,e28740,中文名,中文名
e28740,e2215,职业,职业
e28740,e31769,参加革命时间,参加革命时间
e3421,e3421,中文名,中文名
e3421,e51175,出生日期,出生日期
e3421,e21495,逝世日期,逝世日期
e46967,e46967,中文名,中文名
e46967,e18382,外文名,外文名
e46967,e34458,研制,研制
e46967,e35664,类别,类别
e9040,e9040,中文名,中文名
e9040,e11363,作温度,作温度
e9040,e24217,扫描模式,扫描模式
e9040,e44612,输入电压,输入电压
e9040,e11363,作温度,作温度
e9040,e9040,中文名,中文名
e9040,e24217,扫描模式,扫描模式
e9040,e44612,输入电压,输入电压
e40972,e40972,中文名,中文名
e40972,e47889,国家,国家
e40972,e2345,特点,特点
e44843,e44843,中文名,中文名
e44843,e8965,类型,类型
e44843,e33915,装备时间,装备时间
e44843,e46814,品牌,品牌
e40972,e23384,词性,词性
e19355,e19355,中文名,中文名
e19355,e15735,出生日期,出生日期
e19355,e46191,逝世日期,逝世日期
e19355,e31747,别名,别名
e19355,e50194,毕业院校,毕业院校
e25132,e38131,外文名,外文名
e25132,e46957,出生日期,出生日期
e25132,e10654,出生地,出生地
e40972,e40972,中文名,中文名
e40972,e47889,国家,国家
e40972,e23384,词性,词性
e40972,e2345,特点,特点
e20168,e25552,别称,别称
e25132,e25132,中文名,中文名
e20168,e37417,分布,分布
e20168,e20168,中文名,中文名
e20168,e34842,功用,功用
e41111,e41111,中文名,中文名
e41111,e31759,外文名,外文名
e41111,e44220,国籍,国籍
e41111,e2583,出生地,出生地
e41111,e43657,性别,性别
e41111,e15160,别名,别名
e15034,e15034,中文名,中文名
e15034,e44220,国籍,国籍
e15034,e46453,出生日期,出生日期
e11196,e11196,中文名,中文名
e11196,e31582,民族,民族
e11196,e40492,出生日期,出生日期
e11196,e30932,逝世日期,逝世日期
e15034,e2425,逝世日期,逝世日期
e46694,e46694,中文名,中文名
e46694,e44220,国籍,国籍
e46694,e46191,逝世日期,逝世日期
e46694,e38415,出生日期,出生日期
e3930,e3930,中文名,中文名
e3930,e42223,外文名,外文名
e3930,e15622,试样毛坯尺寸,试样毛坯尺寸
e3930,e25629,屈服点,屈服点
e3930,e43051,断后伸长率,断后伸长率
e3930,e10128,别称,别称
e8000,e13590,民族,民族
e8000,e13224,出生日期,出生日期
e8000,e44220,出生地,出生地
e8000,e29382,逝世日期,逝世日期
e40113,e40113,中文名,中文名
e40113,e33694,出生地,出生地
e40113,e10851,出生日期,出生日期
e40113,e6706,逝世日期,逝世日期
e40113,e28120,毕业院校,毕业院校
e46860,e46860,中文名,中文名
e46860,e48978,研发公司,研发公司
e46860,e2174,游戏状况,游戏状况
e15342,e15342,中文名,中文名
e15342,e27704,出生日期,出生日期
e15342,e43657,性别,性别
e15342,e31769,逝世日期,逝世日期
e48134,e48134,本名,本名
e48134,e1069,所处时代,所处时代
e48134,e23359,逝世日期,逝世日期
e22786,e22786,中文名,中文名
e22786,e52736,国籍,国籍
e22786,e45438,出生日期,出生日期
e22786,e41029,逝世日期,逝世日期
e22786,e8431,职业,职业
